userName,score,at,content;;;;;;;
Pengguna Google,5,2021-10-22 22:44:03,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍;;;;;;;
Pengguna Google,5,2021-10-22 22:41:40,Sejauh ini puas dg performa tokped;;;;;;;
"Pengguna Google,3,2021-10-22 22:40:33,""Kenapa vocer toko ga bisa di gabung dengan vocer ongkir, di toko sebelah bisa koq gabungin vocer pas cekout. Vocer ongkir + vocer toko + vocer dari aplikasi. Di tokopedia sekali tansaksi hanya bisa pake 1 vocer😪""";;;;;;;
Pengguna Google,5,2021-10-22 22:33:30,Mantap tokopedia;;;;;;;
"Pengguna Google,3,2021-10-22 22:31:07,""Tokopedia tidak seperti dulu, apalagi dari segi kurir yang bebas ongkir, otomatis di setting kurir nya ENTARAJA, dulu pilihan kurir banyak..krena jasa pengiriman yg di set otomatis sama tokopedia sekarang jasa pengiriman yang sangat lambat, sudah satu minggu tracking tak bergerak, dan saya tidak tau barang saya ada di mana, komplain pun paling jawabannya cuma """"SABAR"""" semoga menjadi pelajaran buat kita semua, buat tokopedia sudah bnyak yg mngeluhkan ini, jadi sembarilah berbenah..""";;;;;;;
Pengguna Google,5,2021-10-22 22:28:46,oke banget;;;;;;;
Pengguna Google,5,2021-10-22 22:24:30,Moga moga ke depannya lebih bagus lagi;;;;;;;
Pengguna Google,5,2021-10-22 22:24:21,keren...semoga berlangganan;;;;;;;
"Pengguna Google,2,2021-10-22 22:21:00,""curang.. download udah hampir 100% balik lagi ke 20%, trus naik ke 60%, balik lagi ke 30%, baru bisa 100%. hati2 hari pembalasan mencurangi banyak orang""";;;;;;;
"Pengguna Google,5,2021-10-22 22:19:22,""Toped sangat membantu👍,apalagi kalau ada free ongkir🙏🙏""";;;;;;;
"Pengguna Google,5,2021-10-22 22:19:18,""awwww,makasi tokopedia""";;;;;;;
Pengguna Google,5,2021-10-22 22:16:14,👍;;;;;;;
Pengguna Google,5,2021-10-22 22:11:18,sangat membantu disaat saya membutuhkan barang yang saya inginkan;;;;;;;
Pengguna Google,1,2021-10-22 22:09:03,makin susah melakukan pembayaran lewat Gopay;;;;;;;
Pengguna Google,5,2021-10-22 22:03:29,حسنا;;;;;;;
"Pengguna Google,5,2021-10-22 21:59:11,""Keren, sekarang sudah ada fitur nyambung di app gojek👍👍""";;;;;;;
Pengguna Google,5,2021-10-22 21:59:01,Sangat mudah di askes nya dan kepuasan konsumen memesan & pilih barangnya sangat mudah 👍;;;;;;;
Pengguna Google,5,2021-10-22 21:56:56,Memudahkan dalam berbelanja;;;;;;;
Pengguna Google,3,2021-10-22 21:54:36,Bagus;;;;;;;
Pengguna Google,5,2021-10-22 21:53:03,Ajib;;;;;;;
"Pengguna Google,5,2021-10-22 21:45:22,""Tokopedia memberikan pelayanan yang baik, simpel tapi komplit.""";;;;;;;
Pengguna Google,5,2021-10-22 21:44:58,good;;;;;;;
Pengguna Google,5,2021-10-22 21:41:51,Apk nya bagus banget belanja serba gratis ongkir😁😁;;;;;;;
Pengguna Google,5,2021-10-22 21:40:08,mantul;;;;;;;
Pengguna Google,5,2021-10-22 21:37:08,Good;;;;;;;
"Pengguna Google,5,2021-10-22 21:36:58,""Tokopedia keren,mantap untuk traktiran pengguna baru ga tanggung2""";;;;;;;
Pengguna Google,4,2021-10-22 21:30:46,Tokopedia ok lebih oke kalau COD selalu bisa di setiap transaksi biar tambah senang penggunanya tidak pindah kelain hati.;;;;;;;
Pengguna Google,3,2021-10-22 21:20:07,Kasi bintang 3 dulu ken sy blm pernh blnja di tokopedia....klo memang pelayananz bagus nanti sy tmbh bintang fulll;;;;;;;
Pengguna Google,5,2021-10-22 21:18:54,ok;;;;;;;
Pengguna Google,5,2021-10-22 21:16:24,Mudah digunakan;;;;;;;
Pengguna Google,5,2021-10-22 21:13:31,Oke banget;;;;;;;
Pengguna Google,4,2021-10-22 20:46:32,Sangat membantu kami;;;;;;;
Pengguna Google,4,2021-10-22 20:44:24,Di liat gratis ongkir tpi begitu chek out mahal banget lebih mahal dari belanja kmi yang luar Jawa. 😊;;;;;;;
Pengguna Google,5,2021-10-22 20:37:04,terimakasih;;;;;;;
Pengguna Google,5,2021-10-22 20:23:22,ok;;;;;;;
Pengguna Google,5,2021-10-22 20:17:19,Good;;;;;;;
Pengguna Google,5,2021-10-22 20:03:07,Toped👌👌👌;;;;;;;
Pengguna Google,5,2021-10-22 19:59:37,Sangat puas;;;;;;;
Pengguna Google,5,2021-10-22 19:47:25,Sangat membantu;;;;;;;
Pengguna Google,5,2021-10-22 19:43:37,Tokopedia mantap 😍;;;;;;;
Pengguna Google,5,2021-10-22 19:41:54,mantappp buat pengguna baru sudah di kasihh traktiran;;;;;;;
Pengguna Google,5,2021-10-22 19:40:01,mantap tokped👍;;;;;;;
Pengguna Google,5,2021-10-22 19:39:12,Belum pernah kecewa di tokopedia;;;;;;;
Pengguna Google,5,2021-10-22 19:33:28,mantap;;;;;;;
Pengguna Google,4,2021-10-22 19:28:47,. v bi;;;;;;;
Pengguna Google,3,2021-10-22 19:27:59,Masih banyak toko-toko yg mengecewakan pembeli...;;;;;;;
Pengguna Google,5,2021-10-22 19:21:34,Mantap;;;;;;;
Pengguna Google,5,2021-10-22 19:18:10,Mantab;;;;;;;
Pengguna Google,1,2021-10-22 19:10:19,udah nyaman sama ovo;;;;;;;
Pengguna Google,5,2021-10-22 19:00:44,shopping guide for your first visit be sure to show;;;;;;;
"Pengguna Google,2,2021-10-22 18:57:56,""Selama ini selalu nyaman berbelanja di tokopedia, tapi sekarang terlalu banyak banyak metode pembayaran dan banyak Seller yg tidak bisa dirubah metode pembayarannya. Agak kecewa dengan system saat ini.""";;;;;;;
Pengguna Google,5,2021-10-22 18:48:47,Kasih bintang 5 deh;;;;;;;
"Pengguna Google,5,2021-10-22 18:41:34,""sukses selalu untuk Tokopedia,,, dan belanja disini memuaskan""";;;;;;;
Pengguna Google,3,2021-10-22 18:37:08,Bagusss...sangat membantu.👍🏼;;;;;;;
Pengguna Google,4,2021-10-22 18:32:01,4 Star;;;;;;;
Pengguna Google,5,2021-10-22 18:30:42,Aplikasinya bagus banget;;;;;;;
Pengguna Google,5,2021-10-22 18:28:06,siip dan mantap;;;;;;;
Pengguna Google,5,2021-10-22 18:27:05,Top;;;;;;;
Pengguna Google,4,2021-10-22 18:21:40,👍;;;;;;;
Pengguna Google,5,2021-10-22 18:19:42,Bnyk diskon & cashbacknya... Keren!💃👍👍👍;;;;;;;
"Pengguna Google,5,2021-10-22 18:14:45,""Tolong untuk jasa same day atau instan agar lebih berkomitmen Lagi untuk pakai jasa ini, sebab estimasi tiba seharus nya di hari yang sama bukan malah harus mentok Atau menunggu proses berhari hari di toko,Atau problem lain nya, jikalau demikian itu sama saja pakai jasa Pengiriman reguler Atau biasa. Kami Sangat mengeluh dengan ini dan itu.!! Ini lah Menurut saya Trouble Yang paling sensitif, karena pesanan seharus nya lebih cepat. Sederhana saja.""";;;;;;;
Pengguna Google,5,2021-10-22 18:12:35,😍😍😍😍;;;;;;;
Pengguna Google,5,2021-10-22 17:57:07,Tokopedia.;;;;;;;
Pengguna Google,5,2021-10-22 17:54:09,Tokped mantabblahhh 👍👍👍👍👍👍;;;;;;;
Pengguna Google,5,2021-10-22 17:53:18,Good application;;;;;;;
Pengguna Google,5,2021-10-22 17:49:37,👍;;;;;;;
Pengguna Google,5,2021-10-22 17:48:07,sangat membantu;;;;;;;
Pengguna Google,3,2021-10-22 17:41:20,cashbacknya nenarik tp itu dulu;;;;;;;
Pengguna Google,5,2021-10-22 17:38:58,Lumayan;;;;;;;
Pengguna Google,5,2021-10-22 17:31:20,Ok;;;;;;;
Pengguna Google,5,2021-10-22 17:28:05,Mantap;;;;;;;
Pengguna Google,5,2021-10-22 17:25:57,senang berbelanja online di Tokopedia;;;;;;;
Pengguna Google,5,2021-10-22 17:24:09,Alhamdulillah pengguna baru dpet 0% belanja;;;;;;;
Pengguna Google,5,2021-10-22 17:21:34,good;;;;;;;
Pengguna Google,5,2021-10-22 17:19:56,Siip;;;;;;;
Pengguna Google,5,2021-10-22 17:19:33,Bagus dan mantap;;;;;;;
Pengguna Google,5,2021-10-22 17:17:45,bagus;;;;;;;
Pengguna Google,5,2021-10-22 17:16:42,ok;;;;;;;
Pengguna Google,5,2021-10-22 17:09:44,nice;;;;;;;
Pengguna Google,5,2021-10-22 17:08:18,saya coba ini belanja pertama semoga lancar semua;;;;;;;
Pengguna Google,5,2021-10-22 17:07:13,MANTAP;;;;;;;
Pengguna Google,4,2021-10-22 17:06:19,Ada toko yg kurang pantas di sini. Jadi mohon di seleksi lagi toko toko nya;;;;;;;
Pengguna Google,5,2021-10-22 17:04:45,harga murah dan banyak gratis ongkir ny;;;;;;;
Pengguna Google,4,2021-10-22 17:00:23,keren;;;;;;;
Pengguna Google,5,2021-10-22 16:54:58,Mantap;;;;;;;
Pengguna Google,5,2021-10-22 16:51:37,Mantaaaabb;;;;;;;
Pengguna Google,5,2021-10-22 16:48:04,Mntap;;;;;;;
Pengguna Google,5,2021-10-22 16:44:43,Ok;;;;;;;
Pengguna Google,5,2021-10-22 16:42:24,Terima kasih Tokopedia pelayanan yang terbaik;;;;;;;
Pengguna Google,5,2021-10-22 16:39:58,Terima kasih Tokopedia;;;;;;;
Pengguna Google,5,2021-10-22 16:39:49,terimakasih untuk teraktirannya tokopedia;;;;;;;
Pengguna Google,5,2021-10-22 16:39:06,mantap;;;;;;;
Pengguna Google,1,2021-10-22 16:38:12,ajn apk iklan terus di hp gua babi;;;;;;;
Pengguna Google,5,2021-10-22 16:37:26,aplikasi yg sangat bermanfaat;;;;;;;
Pengguna Google,4,2021-10-22 16:37:10,mksh tokped;;;;;;;
Pengguna Google,5,2021-10-22 16:33:09,Top;;;;;;;
Pengguna Google,5,2021-10-22 16:31:36,Lamaaa amatt;;;;;;;
Pengguna Google,5,2021-10-22 16:28:36,ok banget dpt gratisan;;;;;;;
